Type,Part Number,Brand,Model,Rank,Benchmark,Samples,URL
GPU,,Nvidia,GTX 1080,1,158,387,http://gpu.userbenchmark.com/Nvidia-GTX-1080/Rating/3603
GPU,08G-P4-6180-KR,EVGA,EVGA GTX 1080 8GB Founders Edition,1,158,387,http://gpu.userbenchmark.com/Nvidia-GTX-1080/Rating/3603
GPU,GTX1080-8G,Asus,ASUS GTX 1080 8GB Founders Edition,1,158,387,http://gpu.userbenchmark.com/Nvidia-GTX-1080/Rating/3603
GPU,GEFORCE GTX 1080 Founders Edition,Nvidia,MSI GTX 1080 8GB Founders Edition,1,158,387,http://gpu.userbenchmark.com/Nvidia-GTX-1080/Rating/3603
GPU,ZT-P10800A-10P,Nvidia,Zotac GTX 1080 8GB Founders Edition,1,158,387,http://gpu.userbenchmark.com/Nvidia-GTX-1080/Rating/3603
GPU,GV-N1080D5X-8GD-B,Nvidia,Gigabyte GTX 1080 8GB Founders Edition,1,158,387,http://gpu.userbenchmark.com/Nvidia-GTX-1080/Rating/3603
GPU,08G-P4-6183-KR,EVGA,EVGA GTX 1080 8GB SC GAMING ACX 3.0,1,158,387,http://gpu.userbenchmark.com/Nvidia-GTX-1080/Rating/3603
GPU,GTX 1080 GAMING X 8G,MSI,MSI GTX 1080 8GB GAMING X,1,158,387,http://gpu.userbenchmark.com/Nvidia-GTX-1080/Rating/3603
GPU,,Nvidia,GTX 1070,2,129,29,http://gpu.userbenchmark.com/Nvidia-GTX-1070/Rating/3609
GPU,GTX1070-8G,Asus,ASUS GTX 1070 8GB Founders Edition,2,129,29,http://gpu.userbenchmark.com/Nvidia-GTX-1070/Rating/3609
GPU,ZT-P10800A-10P,Nvidia,ZOTAC GTX 1070 8GB Founders Edition ,2,129,29,http://gpu.userbenchmark.com/Nvidia-GTX-1070/Rating/3609
GPU,VCGGTX10708PB-CG,Nvidia,PNY GTX 1070 8GB Founders Edition,2,129,29,http://gpu.userbenchmark.com/Nvidia-GTX-1070/Rating/3609
GPU,GV-N1070D5-8GD-B,Nvidia,Gigabyte GTX 1070 8GB Founders Edition,2,129,29,http://gpu.userbenchmark.com/Nvidia-GTX-1070/Rating/3609
GPU,MSI GeForce GTX 1070 Founders Edition,Nvidia,MSI GTX 1070 Founders Edition,2,129,29,http://gpu.userbenchmark.com/Nvidia-GTX-1070/Rating/3609
GPU,08G-P4-6170-KR,EVGA,EVGA GTX 1070 8GB Founders Edition,2,129,29,http://gpu.userbenchmark.com/Nvidia-GTX-1070/Rating/3609
GPU,,Nvidia,GTX 980 Ti,3,125,10885,http://gpu.userbenchmark.com/Nvidia-GTX-980-Ti/Rating/3439
GPU,06G-P4-4995-KR,EVGA,EVGA GTX 980 Ti 6GB ACX SC+ ACX 2.0+ w/BP,3,125,10885,http://gpu.userbenchmark.com/Nvidia-GTX-980-Ti/Rating/3439
